id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN071,looking for a complex indian recipe that’s completely dairy-free ready in under an hour,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN072,need an advanced level dairy free indian dish to impress guests in 45 mins,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN073,can you suggest a High Effort dairy-free Indian recipe? I have 30-60 mins to cook,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN074,i want a detailed recipe for a challenging dairy free Indian meal that takes about 50 mins to prep,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN075,plz help with a complex indian recipe without any dairy – should take moderate time like 30-60 mins 🙏,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN076,"Can you help me find a complex paleo recipe using chicken thighs sweet potatoes and broccoli?,","{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: chicken thighs, sweet potatoes, broccoli"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN077,im looking for a high effort paleo dish that uses chicken thighs and sweet potatoes,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: chicken thighs, sweet potatoes, broccoli"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN078,NEED a challenging paleo recipe with chicken thighs and broccoli plz,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: chicken thighs, sweet potatoes, broccoli"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN079,what's a paleo recipe that can take around 30-60 mins and uses sweet potatoes and chicken thighs?,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: chicken thighs, sweet potatoes, broccoli"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN080,i want to make something advanced with chicken thighs and broccoli  pls help! 💪🍽️,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""must_use_specific: chicken thighs, sweet potatoes, broccoli"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN081,got any easy vegan recipes using lentils carrots and onion?,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, onion"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN082,what's a simple vegan dish i can make with lentils and carrots?,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, onion"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN083,NEED a quick vegan recipe that uses lentils and carrots,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, onion"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN084,easy plant based meal using lentils carrots and onion pls,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, onion"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN085,looking for yummy vegan recipe with lentils and carrots thx! 🥕,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: lentils, carrots, onion"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN086,could you suggest a vegetarian recipe that avoids any mexican ingredients and requires moderate effort? i have plenty of time to cook and want something a bit more involved this time,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN087,"I want to make a veggie dinner, not mexican tho! Something that takes a bit of time but not too long, any recipes for me?","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN088,"pls help me find a vegetarian dinner recipe that will take some time to prepare but isn't mexican, thx!","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN089,can u give me a detailed vegetarian recipe without any mexican flavors? I have no time limit and am ready for a medium effort dish!,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN090,"need cooking ideas for dinner - i'm craving vegetarian food, but I wanna stay away from mexican dishes. Looking for something not too simple but not overly complicated either!","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN091,quick high protein greek recipe pls,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: greek"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN092,Looking for a high-protein greek dish under 30 mins ,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: greek"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN093,need a greek recipe that's high protein and quick,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: greek"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN094,How about high-protein greek meal ready in 30 mins?,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: greek"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN095,wanna make sumthing greek high protein quick like 4 lunch 💪,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: greek"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN096,i need a quick and easy keto recipe using avocado salmon olive oil,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, salmon, olive oil"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN097,what’s a simple keto dish i can make with salmon and avocado in under 30 mins?,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, salmon, olive oil"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN098,looking for a super easy keto recipe w avocado and salmon,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, salmon, olive oil"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN099,can u help me find a fast keto meal with avocado and salmon please?,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, salmon, olive oil"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN100,easy keto recipe salmon avocado 30 mins,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: avocado, salmon, olive oil"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN101,paleo recipes for dinner in 30 mins,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fast food"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN102,need quick paleo meal ideas plz,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fast food"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN103,looking for some easy PALEO dishes 30-60 min,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fast food"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN104,intermediate paleo recipe no fast food,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fast food"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN105,got any general pantry paleo recipes? thx! 😊,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fast food"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN106,i'm looking for a diabetic-friendly recipe that uses basic pantry staples but needs to be complex and takes about 45 minutes to prepare. any ideas?,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN107,"Can you suggest a diabetic-friendly main course that avoids sweet flavors? I have a lot of ingredients in my pantry, and I’m ready to put in some effort. Should take around 30-60 mins!","{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN108,HELP! I need an advanced diabetic-friendly recipe that won't be sweet. I have only basic ingredients and I can spend like 45 minutes cooking. Any suggestions?🤔,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN109,need a detailed diabetic friendly recipe that is not sweet and requires high effort. my pantry is full and I can dedicate about 60 mins for cooking 😊,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN110,WHAT’S a GOOD diabetic-friendly recipe using pantry staples that is COMPLEX and takes atleast 30 minutes?? Avoid anything sweet pls!,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN111,"need a super easy vegetarian recipe using quinoa, black beans, and bell peppers","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell pepper"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN112,what's a quick vegetarian dish i can make with quinoa and black beans?,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell pepper"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN113,"help! i need a simple vegetarian meal with quinoa🍚, black beans and bell pepper in under 30 mins","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell pepper"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN114,Is there an easy Mexican vegetarian recipe I can whip up quickly using black beans and quinoa?,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell pepper"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN115,"plz suggest a quick vegetarian recipe that has quinoa, bell pepper and black beans, thx!","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell pepper"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN116,can you give me a complex japanese recipe that requires a lot of effort,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN117,looking for a high effort japanese dish to impress my friends,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN118,what's a challenging recipe from japanese cuisine that I can try making,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN119,i really want to make a difficult japanese meal if you have any good ideas pls,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN120,give me a sophisticated japanese recipe that takes time and skill to prepare,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN121,im looking for an advanced dairy-free indian recipe that takes a bit of time to prepare like somthing really complex and delicious,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN122,Can you suggest a complex indian dish that is dairy free? i want to spend some good time cooking it and really want to impress my friends!,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN123,i would like a deTAILED advanced dairy-free indian recipe to make when i have no time constraints so i can really enjoy the process,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN124,please help! i want a high-effort complex recipe from Indian cuisine that doesn't include dairy 🥘 - the more intricate the better!,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN125,need a high skill level indian recipe that's dairy free - i want to create something special with lots of flavors and layers,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN126,Can you suggest a gluten-free recipe that I can make with common pantry items? I have about 30 to 60 minutes to prepare and prefer something with moderate effort.,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN127,"looking for a fun gluten free dish to make with whatever is in my pantry, any cuisine is fine, moderate effort  pls 🙏","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN128,"NEED A GLUTEN-FREE RECIPE using ingredeints from my pantry, like random stuff i have, that takes between 30-60 mins to prepare plz!","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN129,"what’s a good  gluten free recipe I can whip up in less than an hour? I have some typical pantry items on hand, and I don't want it to be too complicated.","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN130,"i need a gluten-free meal idea with things from my pantry, something delicious that can be made in 30-60 minutes and isn’t too hard thx!","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN131,need a quick high-protein recipe with chicken broccoli eggs,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: chicken, broccoli, eggs"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN132,Quick PROTEIN meal ideas using chicken and broccolli,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: chicken, broccoli, eggs"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN133,what's an easy chicken and broccoli recipe?,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: chicken, broccoli, eggs"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN134,need high protein dinner under 30 min w/ chicken eggs,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: chicken, broccoli, eggs"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN135,plz help me find a fast chicken and eggs recipe! 🥚🍗,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""must_use_specific: chicken, broccoli, eggs"",""CuisinePreference"":""avoid_specific: sweet"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN136,i need an advanced italian pescatarian recipe,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN137,Looking for a Complex italian seafood dish 🍝,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN138,need to find high effort pescatarian meal ideas,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN139,Does anyone have a tricky italian recipe with fish?,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN140,pescatarian italian cuisine high effort ideas pls!,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
